iter	Passed	Remaining
0	3	349
1	6	335
2	10	330
3	12	309
4	16	312
5	19	308
6	22	304
7	24	284
8	25	261
9	26	242
10	28	227
11	29	214
12	30	204
13	31	194
14	32	185
15	33	177
16	34	170
17	35	163
18	37	157
19	38	152
20	39	147
21	40	142
22	41	138
23	42	134
24	43	130
25	44	127
26	45	124
27	47	120
28	48	117
29	49	114
30	50	112
31	52	110
32	53	108
33	55	106
34	56	105
35	57	103
36	59	101
37	61	100
38	62	98
39	63	95
40	65	93
41	65	90
42	66	88
43	67	86
44	68	83
45	69	81
46	70	80
47	72	78
48	73	76
49	74	74
50	75	72
51	76	71
52	78	69
53	79	67
54	79	65
55	81	63
56	82	61
57	83	60
58	84	58
59	85	56
60	86	55
61	87	53
62	88	52
63	89	50
64	91	49
65	92	47
66	93	45
67	94	44
68	95	42
69	96	41
70	97	39
71	98	38
72	99	36
73	101	35
74	102	34
75	103	32
76	104	31
77	105	29
78	106	28
79	107	26
80	109	25
81	110	24
82	111	22
83	112	21
84	113	20
85	114	18
86	115	17
87	116	15
88	117	14
89	119	13
90	120	11
91	122	10
92	123	9
93	124	7
94	125	6
95	126	5
96	127	3
97	129	2
98	130	1
99	131	0
